ride_id,bike_id,user_type,start_station,end_station,start_time,end_time,duration_minutes,distance_km,status
RIDE-32533,BIkE-4167,maybe,TECH_DISTRICT,UNIVERSITY,2026-02-06 15:35,2026-02-06 15:07,19.9,19.52 ,Unvalidated
RIDE-48883,Bike-275,robot,West_End,Downtown_Plaza,2025/07/31 15:35,2025/07/31 15:30,1.1,0.42km,Unvalidated
RIDE-36833,bIKE-4268,vip,River_Park,East_Terminal,2026-04-17 15:35,2026-04-17 16:08,-26.0,-4.46km,Unvalidated
RIDE-68693,,admin,University,Downtown_Plaza,2026-06-05 15:35,2026-06-05 14:44,,16.76 ,Unvalidated
RIDE-12809,BiKe-317,admin,River_Park,North_Market,2025-12-25 15:35,2025-12-25 14:54,36.4,17.04 ,Unvalidated
RIDE-37729,Bike-1069,maybe,Central_Station,River_Park,2025/31/07 15:35,2025/31/07 14:27,76.5,13.81km,Unvalidated
RIDE-17584,BIkE-3950,admin,North_Market,Tech_District,2025-10-29 15:35,2025-10-29 15:11,-22.1,-4.74km,Unvalidated
RIDE-64665,Bike-742,maybe,East_Terminal,,2026-01-01 15:35,2026-01-01 16:36,62.5,6.4km,Unvalidated
RIDE-38460,BIkE-3302,casual,South_Gardens,East_Terminal,2025-10-20 15:35,2025-10-20 14:58,38.0,17.95 ,Unvalidated
RIDE-75101,BIkE-2190,casual,Downtown_Plaza,University,2025/07/12 15:35,2025/07/12 16:13,37.2,8.86 ,Unvalidated
RIDE-36659,BIkE-2202,casual,University,City_Hall,2025/08/11 15:35,2025/08/11 15:16,-15.7,-1.71km,Unvalidated
RIDE-53867,bIKE-3544,tourist,Tech_District,City_Hall,11/03/2026 15:35,11/03/2026 12:48,-163.8,-19.43km,Unvalidated
RIDE-45880,BIkE-2131,maybe,Central_Station,University,2025/10/31 15:35,2025/10/31 14:18,-79.2,-19.44 ,Unvalidated
RIDE-67277,bIKE-3717,member,North_Market,City_Hall,2026/02/17 15:35,2026/02/17 14:07,-96.6,-11.19km,Unvalidated
RIDE-62030,BIKE-263,casual,West_End,East_Terminal,2025/08/13 15:35,2025/08/13 15:05,,-16.67 ,Unvalidated
RIDE-26346,BiKe-2668,maybe,Tech_District,South_Gardens,2026/16/01 15:35,2026/16/01 14:23,-68.0,-7.52km,Unvalidated
RIDE-78362,BiKe-2428,casual,South_Gardens,South_Gardens,2025/29/06 15:35,2025/29/06 16:01,-32.1,-4.23km,Unvalidated
RIDE-29011,bike-3128,vip,,North_Market,2025/10/09 15:35,2025/10/09 15:55,-20.6,-5.59 ,Unvalidated
RIDE-11792,BiKe-2655,tourist,,City_Hall,02/12/2025 15:35,02/12/2025 15:36,9.2,3.38 ,Unvalidated
RIDE-33269,BIKE-4776,admin,University,Downtown_Plaza,2026/01/05 15:35,2026/01/05 16:21,46.8,10.12km,Unvalidated
RIDE-57882,BIkE-3281,MayBe,South_Gardens,South_Gardens,13/10/2025 15:35,13/10/2025 15:45,-3.7,-0.73km,Unvalidated
