ride_id,bike_id,user_type,start_station,end_station,start_time,end_time,duration_minutes,distance_km,status,status,status,status
RIDE-10009,BIKE-1155,casual,River_Park,Central_Station,2025-12-13 21:18,2025-12-13 21:19,5.9,4.37,clean,clean,clean,clean
RIDE-10039,BIKE-1402,casual,East_Terminal,South_Gardens,2026-01-13 21:18,2026-01-13 21:11,10.8,7.49,clean,clean,clean,clean
RIDE-10052,BIKE-4500,tourist,River_Park,Downtown_Plaza,2026-02-22 21:18,2026-02-22 21:06,18.7,5.12,clean,clean,clean,clean
RIDE-10058,BIKE-1865,member,Downtown_Plaza,South_Gardens,2026-04-02 21:18,2026-04-02 21:13,13.1,1.71,clean,clean,clean,clean
RIDE-10059,BIKE-3692,casual,Downtown_Plaza,South_Gardens,2026-01-17 21:18,2026-01-17 23:05,110.6,15.17,clean,clean,clean,clean
RIDE-10086,BIKE-4084,member,City_Hall,South_Gardens,2025-06-14 21:18,2025-06-14 21:56,41.1,10.01,clean,clean,clean,clean
RIDE-10092,BIKE-3086,casual,East_Terminal,River_Park,2026-02-11 21:18,2026-02-11 22:59,104.4,16.98,clean,clean,clean,clean
RIDE-10136,BIKE-3359,casual,City_Hall,University,2025-12-24 21:18,2025-12-24 21:09,7.0,1.93,clean,clean,clean,clean
RIDE-10146,BIKE-4696,member,South_Gardens,University,2025-09-17 21:18,2025-09-17 22:17,67.4,7.79,clean,clean,clean,clean
RIDE-10158,BIKE-1508,member,West_End,River_Park,2025-10-31 21:18,2025-10-31 22:06,57.4,7.01,clean,clean,clean,clean
RIDE-10192,BIKE-4496,casual,University,River_Park,2026-02-20 21:18,2026-02-20 21:01,9.8,2.16,clean,clean,clean,clean
RIDE-10263,BIKE-4465,tourist,University,City_Hall,2025-10-27 21:18,2025-10-27 21:01,24.8,18.17,clean,clean,clean,clean
RIDE-10308,BIKE-1148,member,Tech_District,East_Terminal,2025-07-18 21:18,2025-07-18 22:49,83.8,13.7,clean,clean,clean,clean
RIDE-10350,BIKE-4927,member,City_Hall,City_Hall,2025-06-27 21:18,2025-06-27 22:24,67.5,7.38,clean,clean,clean,clean
RIDE-10361,BIKE-3406,member,South_Gardens,City_Hall,2025-12-21 21:18,2025-12-21 20:56,25.6,5.28,clean,clean,clean,clean
RIDE-10404,BIKE-2245,member,North_Market,River_Park,2025-06-14 21:18,2025-06-14 22:02,54.7,6.5,clean,clean,clean,clean
RIDE-10409,BIKE-1637,member,River_Park,Tech_District,2025-08-13 21:18,2025-08-13 22:06,55.7,5.63,clean,clean,clean,clean
RIDE-10410,BIKE-2502,tourist,University,City_Hall,2025-10-16 21:18,2025-10-16 18:43,146.8,19.29,clean,clean,clean,clean
RIDE-10428,BIKE-3681,member,East_Terminal,North_Market,2025-06-29 21:18,2025-06-29 23:23,119.2,12.99,clean,clean,clean,clean
